
METEOCLIMAT FANTOMON (MCL), 14 Avril
VOUS POUVEZ UTILISER CES DONNEES DE TEMPERATURE A CONDITION QUE CELA NE SOIT PAS COMMERCIAL.

Fantomon, 2020. Données de http://www.meteostats.bzh/index.php. Tous droits réservés.

FORMAT DU FICHIER (DONNEE MANQUANTE: -9999):

01-06 ID: Numéro ID de la station
08-15 DATE : Date YYYYMMDD
17-21 P   : Précipitations de la journée en 0,1mm
23-27 Q_P : validité de la p (0='valide'; 9='manquant')

Voici les données de Toulouse (Numéro d'identification du lieu: 9).
ALTITUDE: 151m
LATITUDE: 43°37'24"N           LONGITUDE: 01°22'42"E

    ID,    DATE,    P, Q_P
     9,18780718,    0,    0
     9,18780719,    2,    0
     9,18780720,    0,    0
     9,18780721,    0,    0
     9,18780722,    0,    0
     9,18780723,    9,    0
     9,18780724,    0,    0
     9,18780725,    1,    0
     9,18780726,   15,    0
     9,18780727,    0,    0
     9,18780728,    0,    0
     9,18780729,    0,    0
     9,18780730,    0,    0
     9,18780731,    0,    0
     9,18780801,    1,    0
     9,18780802,  309,    0
     9,18780803,    1,    0
     9,18780804,    0,    0
     9,18780805,    0,    0
     9,18780806,    0,    0
     9,18780807,    0,    0
     9,18780808,    0,    0
     9,18780809,    0,    0
     9,18780810,   24,    0
     9,18780811,    0,    0
     9,18780812,    0,    0
     9,18780813,    0,    0
     9,18780814,    0,    0
     9,18780815,  250,    0
     9,18780816,    0,    0
     9,18780817,    0,    0
     9,18780818,   39,    0
     9,18780819,    0,    0
     9,18780820,    0,    0
     9,18780821,    0,    0
     9,18780822,   12,    0
     9,18780823,    0,    0
     9,18780824,    0,    0
     9,18780825,    0,    0
     9,18780826,    1,    0
     9,18780827,    0,    0
     9,18780828,    0,    0
     9,18780829,   11,    0
     9,18780830,    0,    0
     9,18780831,    0,    0
     9,18780901,    0,    0
     9,18780902,    0,    0
     9,18780903,    0,    0
     9,18780904,    0,    0
     9,18780905,    1,    0
     9,18780906,    0,    0
     9,18780907,    0,    0
     9,18780908,    0,    0
     9,18780909,    0,    0
     9,18780910,    0,    0
     9,18780911,    0,    0
